% mention
@RELATION men

@ATTRIBUTE gn {MASC, FEM}
@ATTRIBUTE gn1 {MASC, FEM}
@ATTRIBUTE num1 {SING, PLUR}
@ATTRIBUTE num {SING, PLUR}
@ATTRIBUTE en {PERS, LOC, ORG, FUNC}
@ATTRIBUTE en1 {PERS, LOC, ORG, FUNC}
@ATTRIBUTE gp {CASE=YES, CASE=NO}
@ATTRIBUTE gp1 {CASE=YES, CASE=NO}
@ATTRIBUTE id_form {YES, NO}
@ATTRIBUTE subform {YES, NO}
@ATTRIBUTE inc_rate REAL
@ATTRIBUTE dis_men REAL
@ATTRIBUTE dis_phrase REAL
@ATTRIBUTE dis_char REAL
@ATTRIBUTE sys_tag {PR, N}
@ATTRIBUTE sys_tag1 {PR, N}

@DATA
?,MASC,?,?,SING,SING,?,?,NO,NO,70,-29,-4,79,PR,PR
MASC,MASC,?,?,SING,SING,?,?,NO,NO,87,-30,-4,79,PR,PR
?,MASC,?,?,SING,SING,?,?,NO,NO,70,-31,-4,79,PR,PR
MASC,MASC,?,?,SING,SING,?,?,NO,NO,70,-32,-4,79,PR,PR
?,MASC,?,?,SING,SING,?,?,NO,NO,70,-33,-4,79,PR,PR
MASC,MASC,?,?,PLUR,SING,CASE=YES,?,NO,NO,52,-34,-4,79,PR,N
MASC,MASC,?,?,SING,SING,?,?,NO,NO,57,-35,-4,79,PR,PR
MASC,MASC,?,?,SING,SING,?,?,NO,YES,87,-36,-4,79,PR,PR
MASC,MASC,?,?,SING,SING,?,?,NO,NO,78,-37,-4,79,PR,PR
MASC,MASC,?,?,SING,SING,?,?,NO,NO,52,-38,-4,79,PR,N
MASC,MASC,?,?,SING,SING,?,?,NO,NO,34,-39,-4,79,PR,N
FEM,MASC,?,?,SING,SING,?,?,NO,NO,56,-40,-4,79,PR,N
MASC,MASC,?,?,SING,SING,?,?,NO,NO,78,-41,-4,79,PR,PR
FEM,MASC,?,?,SING,SING,?,?,NO,NO,67,-42,-4,79,PR,N
?,MASC,?,?,?,SING,?,?,NO,NO,70,-43,-4,79,PR,PR
FEM,MASC,?,?,PLUR,SING,CASE=YES,CASE=YES,NO,NO,45,2,-2,91,N,N
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,42,1,2,74,N,PR
MASC,MASC,?,?,SING,SING,CASE=YES,CASE=YES,YES,YES,100,0,0,0,N,N
FEM,MASC,PERS,?,SING,SING,?,CASE=YES,NO,NO,50,-1,1,-44,N,N
MASC,MASC,FUNC,?,SING,SING,?,CASE=YES,NO,NO,42,-2,1,-66,N,N
MASC,MASC,?,?,SING,SING,CASE=YES,CASE=YES,NO,NO,61,-3,1,-97,N,N
?,MASC,PERS,?,PLUR,SING,?,CASE=YES,NO,NO,41,-4,1,-118,N,N
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,45,-5,1,-156,N,N
MASC,MASC,FUNC,?,SING,SING,?,CASE=YES,NO,NO,38,-6,-2,153,N,N
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,38,-7,2,-184,N,N
MASC,MASC,?,?,PLUR,SING,?,CASE=YES,NO,NO,45,-8,2,-203,N,N
FEM,MASC,?,?,PLUR,SING,?,CASE=YES,NO,NO,38,-9,2,-227,N,N
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,46,-10,2,-272,N,PR
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,57,-11,-2,153,N,N
FEM,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,42,-12,-2,153,N,N
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,41,-13,-2,153,N,PR
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,41,-14,-2,153,N,N
FEM,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,39,-15,-2,153,N,N
FEM,MASC,?,?,PLUR,SING,CASE=YES,CASE=YES,NO,NO,52,-16,-2,153,N,N
FEM,MASC,?,?,PLUR,SING,?,CASE=YES,NO,NO,56,-17,-2,153,N,N
?,MASC,?,?,?,SING,?,CASE=YES,NO,NO,50,-18,-2,153,N,PR
MASC,MASC,?,?,PLUR,SING,?,CASE=YES,NO,NO,46,-19,-2,153,N,N
MASC,MASC,?,?,PLUR,SING,?,CASE=YES,NO,NO,55,-20,-2,153,N,N
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,46,-21,-2,153,N,PR
?,MASC,?,?,?,SING,?,CASE=YES,NO,NO,59,-22,-2,153,N,PR
?,MASC,?,?,?,SING,?,CASE=YES,NO,NO,51,-23,-2,153,N,PR
?,MASC,?,?,?,SING,?,CASE=YES,NO,NO,38,-24,-2,153,N,N
FEM,MASC,?,?,PLUR,SING,CASE=YES,CASE=YES,NO,NO,40,-25,-2,153,N,N
FEM,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,49,-26,-2,153,N,N
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,61,-27,-2,153,N,N
?,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,46,-28,-2,153,N,PR
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,46,-29,-2,153,N,PR
?,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,51,-30,-2,153,N,PR
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,46,-31,-2,153,N,PR
?,MASC,?,?,SING,SING,?,CASE=YES,NO,YES,51,-32,-2,153,N,PR
MASC,MASC,?,?,PLUR,SING,CASE=YES,CASE=YES,NO,NO,47,-33,-2,153,N,N
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,50,-34,-2,153,N,PR
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,41,-35,-2,153,N,PR
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,41,-36,-2,153,N,PR
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,77,-37,-2,153,N,N
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,57,-38,-2,153,N,N
FEM,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,42,-39,-2,153,N,N
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,46,-40,-2,153,N,PR
FEM,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,51,-41,-2,153,N,N
?,MASC,?,?,?,SING,?,CASE=YES,NO,NO,46,-42,-2,153,N,PR
FEM,FEM,?,PERS,PLUR,SING,CASE=YES,?,NO,NO,57,3,-3,135,N,N
MASC,FEM,?,PERS,SING,SING,?,?,NO,NO,67,2,1,118,N,PR
MASC,FEM,?,PERS,SING,SING,CASE=YES,?,NO,NO,50,1,-1,44,N,N
FEM,FEM,PERS,PERS,SING,SING,?,?,YES,YES,100,0,0,0,N,N
MASC,FEM,FUNC,PERS,SING,SING,?,?,NO,NO,51,-1,0,-22,N,N
MASC,FEM,?,PERS,SING,SING,CASE=YES,?,NO,NO,56,-2,0,-53,N,N
?,FEM,PERS,PERS,PLUR,SING,?,?,NO,NO,49,-3,0,-74,N,N
MASC,FEM,?,PERS,SING,SING,?,?,NO,NO,67,-4,0,-112,N,N
MASC,FEM,FUNC,PERS,SING,SING,?,?,NO,NO,41,-5,-3,197,N,N
MASC,FEM,?,PERS,SING,SING,?,?,NO,NO,57,-6,1,-140,N,N
MASC,FEM,?,PERS,PLUR,SING,?,?,NO,NO,51,-7,1,-159,N,N
FEM,FEM,?,PERS,PLUR,SING,?,?,NO,NO,53,-8,1,-183,N,N
MASC,FEM,?,PERS,SING,SING,?,?,NO,NO,64,-9,1,-228,N,PR
MASC,FEM,?,PERS,SING,SING,?,?,NO,NO,49,-10,-3,197,N,N
FEM,FEM,?,PERS,SING,SING,?,?,NO,NO,59,-11,-3,197,N,N
MASC,FEM,?,PERS,SING,SING,?,?,NO,NO,64,-12,-3,197,N,PR
MASC,FEM,?,PERS,SING,SING,?,?,NO,NO,51,-13,-3,197,N,N
FEM,FEM,?,PERS,SING,SING,?,?,NO,NO,43,-14,-3,197,N,N
FEM,FEM,?,PERS,PLUR,SING,CASE=YES,?,NO,NO,62,-15,-3,197,N,N
FEM,FEM,?,PERS,PLUR,SING,?,?,NO,NO,62,-16,-3,197,N,N
?,FEM,?,PERS,?,SING,?,?,NO,NO,62,-17,-3,197,N,PR
MASC,FEM,?,PERS,PLUR,SING,?,?,NO,NO,47,-18,-3,197,N,N
MASC,FEM,?,PERS,PLUR,SING,?,?,NO,NO,67,-19,-3,197,N,N
MASC,FEM,?,PERS,SING,SING,?,?,NO,NO,72,-20,-3,197,N,PR
?,FEM,?,PERS,?,SING,?,?,NO,NO,59,-21,-3,197,N,PR
?,FEM,?,PERS,?,SING,?,?,NO,NO,80,-22,-3,197,N,PR
?,FEM,?,PERS,?,SING,?,?,NO,NO,24,-23,-3,197,N,N
FEM,FEM,?,PERS,PLUR,SING,CASE=YES,?,NO,NO,36,-24,-3,197,N,N
FEM,FEM,?,PERS,SING,SING,?,?,NO,NO,57,-25,-3,197,N,N
MASC,FEM,?,PERS,SING,SING,?,?,NO,NO,51,-26,-3,197,N,N
?,FEM,?,PERS,SING,SING,?,?,NO,NO,80,-27,-3,197,N,PR
MASC,FEM,?,PERS,SING,SING,?,?,NO,NO,80,-28,-3,197,N,PR
?,FEM,?,PERS,SING,SING,?,?,NO,NO,80,-29,-3,197,N,PR
MASC,FEM,?,PERS,SING,SING,?,?,NO,NO,80,-30,-3,197,N,PR
?,FEM,?,PERS,SING,SING,?,?,NO,NO,80,-31,-3,197,N,PR
MASC,FEM,?,PERS,PLUR,SING,CASE=YES,?,NO,NO,61,-32,-3,197,N,N
MASC,FEM,?,PERS,SING,SING,?,?,NO,NO,67,-33,-3,197,N,PR
MASC,FEM,?,PERS,SING,SING,?,?,NO,NO,72,-34,-3,197,N,PR
MASC,FEM,?,PERS,SING,SING,?,?,NO,NO,72,-35,-3,197,N,PR
MASC,FEM,?,PERS,SING,SING,?,?,NO,NO,61,-36,-3,197,N,N
MASC,FEM,?,PERS,SING,SING,?,?,NO,NO,45,-37,-3,197,N,N
FEM,FEM,?,PERS,SING,SING,?,?,NO,NO,59,-38,-3,197,N,N
MASC,FEM,?,PERS,SING,SING,?,?,NO,NO,64,-39,-3,197,N,PR
FEM,FEM,?,PERS,SING,SING,?,?,NO,NO,69,-40,-3,197,N,N
?,FEM,?,PERS,?,SING,?,?,NO,NO,80,-41,-3,197,N,PR
FEM,MASC,?,FUNC,PLUR,SING,CASE=YES,?,NO,NO,46,4,-3,157,N,N
MASC,MASC,?,FUNC,SING,SING,?,?,NO,NO,44,3,1,140,N,PR
MASC,MASC,?,FUNC,SING,SING,CASE=YES,?,NO,NO,53,2,-1,66,N,N
FEM,MASC,PERS,FUNC,SING,SING,?,?,NO,NO,51,1,0,22,N,N
MASC,MASC,FUNC,FUNC,SING,SING,?,?,YES,YES,100,0,0,0,N,N
MASC,MASC,?,FUNC,SING,SING,CASE=YES,?,NO,NO,53,-1,0,-31,N,N
?,MASC,PERS,FUNC,PLUR,SING,?,?,NO,NO,58,-2,0,-52,N,N
MASC,MASC,?,FUNC,SING,SING,?,?,NO,NO,55,-3,0,-90,N,N
MASC,MASC,FUNC,FUNC,SING,SING,?,?,NO,NO,43,-4,-3,219,N,N
MASC,MASC,?,FUNC,SING,SING,?,?,NO,NO,36,-5,1,-118,N,N
MASC,MASC,?,FUNC,PLUR,SING,?,?,NO,NO,36,-6,1,-137,N,N
FEM,MASC,?,FUNC,PLUR,SING,?,?,NO,NO,47,-7,1,-161,N,N
MASC,MASC,?,FUNC,SING,SING,?,?,NO,NO,43,-8,1,-206,N,PR
MASC,MASC,?,FUNC,SING,SING,?,?,NO,NO,48,-9,-3,219,N,N
FEM,MASC,?,FUNC,SING,SING,?,?,NO,NO,59,-10,-3,219,N,N
MASC,MASC,?,FUNC,SING,SING,?,?,NO,NO,43,-11,-3,219,N,PR
MASC,MASC,?,FUNC,SING,SING,?,?,NO,NO,50,-12,-3,219,N,N
FEM,MASC,?,FUNC,SING,SING,?,?,NO,NO,50,-13,-3,219,N,N
FEM,MASC,?,FUNC,PLUR,SING,CASE=YES,?,NO,NO,53,-14,-3,219,N,N
FEM,MASC,?,FUNC,PLUR,SING,?,?,NO,NO,48,-15,-3,219,N,N
?,MASC,?,FUNC,?,SING,?,?,NO,NO,47,-16,-3,219,N,PR
MASC,MASC,?,FUNC,PLUR,SING,?,?,NO,NO,43,-17,-3,219,N,N
MASC,MASC,?,FUNC,PLUR,SING,?,?,NO,NO,43,-18,-3,219,N,N
MASC,MASC,?,FUNC,SING,SING,?,?,NO,NO,43,-19,-3,219,N,PR
?,MASC,?,FUNC,?,SING,?,?,NO,NO,50,-20,-3,219,N,PR
?,MASC,?,FUNC,?,SING,?,?,NO,NO,48,-21,-3,219,N,PR
?,MASC,?,FUNC,?,SING,?,?,NO,NO,36,-22,-3,219,N,N
FEM,MASC,?,FUNC,PLUR,SING,CASE=YES,?,NO,NO,47,-23,-3,219,N,N
FEM,MASC,?,FUNC,SING,SING,?,?,NO,NO,50,-24,-3,219,N,N
MASC,MASC,?,FUNC,SING,SING,?,?,NO,NO,54,-25,-3,219,N,N
?,MASC,?,FUNC,SING,SING,?,?,NO,YES,48,-26,-3,219,N,PR
MASC,MASC,?,FUNC,SING,SING,?,?,NO,YES,48,-27,-3,219,N,PR
?,MASC,?,FUNC,SING,SING,?,?,NO,NO,43,-28,-3,219,N,PR
MASC,MASC,?,FUNC,SING,SING,?,?,NO,NO,43,-29,-3,219,N,PR
?,MASC,?,FUNC,SING,SING,?,?,NO,NO,48,-30,-3,219,N,PR
MASC,MASC,?,FUNC,PLUR,SING,CASE=YES,?,NO,NO,44,-31,-3,219,N,N
MASC,MASC,?,FUNC,SING,SING,?,?,NO,NO,51,-32,-3,219,N,PR
MASC,MASC,?,FUNC,SING,SING,?,?,NO,NO,43,-33,-3,219,N,PR
MASC,MASC,?,FUNC,SING,SING,?,?,NO,NO,43,-34,-3,219,N,PR
MASC,MASC,?,FUNC,SING,SING,?,?,NO,NO,48,-35,-3,219,N,N
MASC,MASC,?,FUNC,SING,SING,?,?,NO,NO,52,-36,-3,219,N,N
FEM,MASC,?,FUNC,SING,SING,?,?,NO,NO,59,-37,-3,219,N,N
MASC,MASC,?,FUNC,SING,SING,?,?,NO,NO,48,-38,-3,219,N,PR
FEM,MASC,?,FUNC,SING,SING,?,?,NO,NO,61,-39,-3,219,N,N
?,MASC,?,FUNC,?,SING,?,?,NO,NO,52,-40,-3,219,N,PR
FEM,MASC,?,?,PLUR,SING,CASE=YES,CASE=YES,NO,NO,54,5,-3,188,N,N
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,53,4,1,171,N,PR
MASC,MASC,?,?,SING,SING,CASE=YES,CASE=YES,NO,NO,52,3,-1,97,N,N
FEM,MASC,PERS,?,SING,SING,?,CASE=YES,NO,NO,56,2,0,53,N,N
MASC,MASC,FUNC,?,SING,SING,?,CASE=YES,NO,NO,41,1,0,31,N,N
MASC,MASC,?,?,SING,SING,CASE=YES,CASE=YES,YES,YES,100,0,0,0,N,N
?,MASC,PERS,?,PLUR,SING,?,CASE=YES,NO,NO,39,-1,0,-21,N,N
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,50,-2,0,-59,N,N
MASC,MASC,FUNC,?,SING,SING,?,CASE=YES,NO,NO,44,-3,-3,250,N,N
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,41,-4,1,-87,N,N
MASC,MASC,?,?,PLUR,SING,?,CASE=YES,NO,NO,44,-5,1,-106,N,N
FEM,MASC,?,?,PLUR,SING,?,CASE=YES,NO,NO,50,-6,1,-130,N,N
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,58,-7,1,-175,N,PR
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,51,-8,-3,250,N,N
FEM,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,45,-9,-3,250,N,N
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,58,-10,-3,250,N,PR
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,49,-11,-3,250,N,N
FEM,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,45,-12,-3,250,N,N
FEM,MASC,?,?,PLUR,SING,CASE=YES,CASE=YES,NO,NO,53,-13,-3,250,N,N
FEM,MASC,?,?,PLUR,SING,?,CASE=YES,NO,NO,63,-14,-3,250,N,N
?,MASC,?,?,?,SING,?,CASE=YES,NO,NO,62,-15,-3,250,N,PR
MASC,MASC,?,?,PLUR,SING,?,CASE=YES,NO,NO,41,-16,-3,250,N,N
MASC,MASC,?,?,PLUR,SING,?,CASE=YES,NO,NO,56,-17,-3,250,N,N
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,58,-18,-3,250,N,PR
?,MASC,?,?,?,SING,?,CASE=YES,NO,NO,55,-19,-3,250,N,PR
?,MASC,?,?,?,SING,?,CASE=YES,NO,NO,65,-20,-3,250,N,PR
?,MASC,?,?,?,SING,?,CASE=YES,NO,NO,34,-21,-3,250,N,N
FEM,MASC,?,?,PLUR,SING,CASE=YES,CASE=YES,NO,NO,48,-22,-3,250,N,N
FEM,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,49,-23,-3,250,N,N
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,54,-24,-3,250,N,N
?,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,58,-25,-3,250,N,PR
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,58,-26,-3,250,N,PR
?,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,58,-27,-3,250,N,PR
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,52,-28,-3,250,N,PR
?,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,58,-29,-3,250,N,PR
MASC,MASC,?,?,PLUR,SING,CASE=YES,CASE=YES,NO,NO,67,-30,-3,250,N,N
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,50,-31,-3,250,N,PR
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,52,-32,-3,250,N,PR
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,58,-33,-3,250,N,PR
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,67,-34,-3,250,N,N
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,51,-35,-3,250,N,N
FEM,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,45,-36,-3,250,N,N
MASC,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,58,-37,-3,250,N,PR
FEM,MASC,?,?,SING,SING,?,CASE=YES,NO,NO,63,-38,-3,250,N,N
?,MASC,?,?,?,SING,?,CASE=YES,NO,NO,58,-39,-3,250,N,PR
FEM,?,?,PERS,PLUR,PLUR,CASE=YES,?,NO,NO,52,6,-3,209,N,N
MASC,?,?,PERS,SING,PLUR,?,?,NO,NO,42,5,1,192,N,PR
MASC,?,?,PERS,SING,PLUR,CASE=YES,?,NO,NO,34,4,-1,118,N,N
FEM,?,PERS,PERS,SING,PLUR,?,?,NO,NO,49,3,0,74,N,N
MASC,?,FUNC,PERS,SING,PLUR,?,?,NO,NO,58,2,0,52,N,N
MASC,?,?,PERS,SING,PLUR,CASE=YES,?,NO,NO,35,1,0,21,N,N
?,?,PERS,PERS,PLUR,PLUR,?,?,YES,YES,100,0,0,0,N,N
MASC,?,?,PERS,SING,PLUR,?,?,NO,NO,41,-1,0,-38,N,N
